Country,Island (Y/N),Landlocked (Y/N),Annual International Tourist Arrivals,Average elevation above sea level (m),Urban population percentage,Air pollution Index,Population area density (/km),Average household size,Ethnic fractionalisation,Linguistic fractionalisation,Religious fractionalisation,GDP per Capita,Infant Mortality Rate (Deaths per 1000 Births),Annual Cigarette Consumption per Capita,Proportion of Population Using Cannabis,Obesity Rate,Corruption Perception Index,Crime Index,Water and Sanitation Rating,Country,Avg Jan Temp C,Avg Feb Temp C,Avg Mar Temp C,Avg Apr Temp C,Avg May Temp C,Avg Jun Temp C,Avg Jul Temp C,Avg Aug Temp C,Avg Sep Temp C,Avg Oct Temp C,Avg Nov Temp C,Avg Dec Temp C,Lockdown 1 Start,Lockdown 1 End,Pop. Proportion 1,Lockdown 2 Start,Lockdown 2 End,Pop. Proportion 2,Lockdown 3 Start,Lockdown 3 End,Pop. Proportion 3,Asian Response Start,Asian Response End,TB Start,TB End,Population
Afghanistan,0,1,500000,1885,25,93.45,49,8,0.7693,0.6141,0.2717,2182,53,311.6,4.3,10,16,73.26,37.74,Afghanistan,,2.2,7.4,13.2,16,,,,,,,,,,,,,,,,,,,,,37000000
Albania,0,0,4070000,708,60,77.77,100,3.7,0.2204,0.0399,0.4719,14866,9,2491.6,1.8,21.7,35,40.02,65.46,Albania,,3,6.2,10.2,13.5,,,,,,,,2020-03-13,,1,,,,,,,,,2020-03-15,,2800000
Algeria,0,0,2039000,800,73,65.75,18,4.5,0.3394,0.4427,0.0091,16091,21,1046.7,5.7,27.4,35,54.41,57.18,Algeria,,14.6,18.2,22.2,25,,,,,,,,2020-03-23,2020-04-19,0.08,,,,,,,,,2020-03-20,,42000000
Andorra,0,1,2831000,1996,88,43,164,2.1,0.7139,0.6848,0.2326,48000,3,6398.3,14.6,25.6,65,25,80,Andorra,,4.3,6.9,9.1,11.5,,,,,,,,,,,,,,,,,,,,,77000
Angola,0,0,397000,1112,66,70,23,4.8,0.7867,0.787,0.6276,6763,68,340.2,2.1,5,26,60,37.44,Angola,,22.9,22.7,22.2,21.8,,,,,,,,,,,,,,,,,,,,,31000000
Antigua and Barbuda,1,0,265000,5,25,30,235,3.4,0.1643,0.1063,0.684,30593,10,89.2,10.6,5,60,40,59.18,Antigua and Barbuda,,23.9,24.1,24.7,25.8,,,,,,,,,,,,,,,,,,,,,96000
Argentina,0,0,5559000,595,92,50.67,16,3.3,0.255,0.0618,0.2236,19971,10,1176.1,7.2,28.3,45,62.96,59.3,Argentina,,20,17.8,14,10.6,,,,,,,,2020-03-19,,1,,,,,,,,,2020-03-15,,44000000
Armenia,0,1,1260000,1792,63,60.23,99,3.5,0.1272,0.1291,0.4576,11845,7,1985.7,3.5,20.2,42,20.78,62.07,Armenia,,-5.5,0.1,7.2,14.6,,,,,,,,2020-03-24,2020-04-14,1,,,,,,,,,2020-03-20,2020-05-14,3000000
Australia,1,0,8263000,330,86,23.46,3,2.5,0.0929,0.3349,0.8211,54799,3,917,10.6,29,77,42.7,74.12,Australia,27.8,27.2,25.3,21.8,17.8,14.8,14,,,,,,2020-03-23,,1,,,,,,,,,,,25000000
Austria,0,1,28121000,910,58,22.19,106,2.2,0.1068,0.1522,0.4146,55171,3,1927,3.5,20.1,77,23.23,78.97,Austria,,-2.2,1.6,5.7,10.4,,,,,,,,2020-03-16,2020-04-13,1,,,,,,,,,2020-03-20,,8900000
Azerbaijan,0,1,2044000,384,56,78.12,116,4.1,0.2047,0.2054,0.4899,19156,11,1525.6,3.5,19.9,30,32.68,62.33,Azerbaijan,,0.4,4.4,10.9,16.4,,,,,,,,2020-03-31,2020-04-20,1,,,,,,,,,2020-03-23,,9900000
Bahamas,1,0,1482000,5,83,40,28,3.4,0.4228,0.1855,0.6815,33432,6,438.6,5.5,31.6,64,50,54.99,Bahamas,,21.4,22.5,23.9,25.6,,,,,,,,,,,,,,,,,,,,,390000
Bahrain,1,0,10158000,5,89,71.43,1983,4.2,0.5021,0.4344,0.5528,51991,6,1101.5,0.4,29.8,42,29.18,55.15,Bahrain,,18,21.7,26.5,31.9,,,,,,,,,,,,,,,,,,,,,1600000
Bangladesh,0,0,200000,85,37,86.21,1170,4.5,0.0454,0.0925,0.209,5453,22,744.1,3.3,5,26,64.98,29.56,Bangladesh,,20.6,25,27.6,28,,,,,,,,2020-03-26,2020-04-25,1,,,,,,,,,,,161000000
Barbados,1,0,632000,5,31,50,668,2.8,0.1423,0.0926,0.6934,19364,10,277.5,8.3,23.1,62,50,55.76,Barbados,,24.8,25.2,25.8,26.6,,,,,,,,,,,,,,,,,,,,,290000
Belarus,0,1,9423500,160,79,43.63,46,2.5,0.3222,0.4666,0.6116,21224,3,2911.3,1.1,24.5,45,24.8,64.98,Belarus,,-5.3,-0.7,7,13.3,,,,,,,,,,,,,,,,,,,,,9500000
Belgium,0,0,7481000,181,98,52.94,376,2.3,0.5554,0.5409,0.2127,50904,3,2440.9,5.1,22.1,75,42.5,77.38,Belgium,,2.9,5.7,8.7,12.9,15.7,17.7,,,,,,2020-03-18,2020-04-19,1,,,,,,,,,2020-03-20,,11500000
Belize,0,0,386000,173,46,50,17,3.8,0.7015,0.6303,0.5813,8791,14,168.6,8.5,24.1,30,70,57.79,Belize,,23,24.5,26,26.9,,,,,,,,,,,,,,,,,,,2020-03-15,,383000
Benin,0,0,267000,273,47,70,104,5.2,0.7872,0.7905,0.5544,3648,55,204,1,5,41,60,38.17,Benin,,28.6,30.2,30.3,29,,,,,,,,,,,,,,,,,,,,,11500000
Bhutan,0,1,210000,3280,41,35,21,4.2,0.605,0.6056,0.3787,10627,15,500,3,5,68,30,47.22,Bhutan,,5.7,9.5,12.3,14.8,,,,,,,,,,,,,,,,,,,,,750000
